,,,,,alpha_hat,alpha_hat,alpha_hat
,,,,,count,mean,std
alpha,dim,b,xsize,ysize,,,
0.9,10,bAUTO,1000,50,200,0.8881712463010791,0.08766734972281978
0.9,10,bAUTO,1000,100,200,0.8872923984901314,0.06852661962478637
0.9,10,bAUTO,1000,200,200,0.8954123569653718,0.048919896191267284
0.9,10,bAUTO,1000,500,200,0.8957614614402845,0.033874724933766365
0.9,10,bAUTO,1000,1000,200,0.8990661000581689,0.0232767785258426
0.9,20,bAUTO,50,50,200,0.8954585294318662,0.06731674058528767
0.9,20,bAUTO,100,50,200,0.8998902734152135,0.0664276202267245
0.9,20,bAUTO,100,100,200,0.8968321396878348,0.05212099585682428
0.9,20,bAUTO,200,50,200,0.9028358175633047,0.0655675473597604
0.9,20,bAUTO,200,100,200,0.8971623757989324,0.04800572576930504
0.9,20,bAUTO,200,200,200,0.8984622399578929,0.0384572583657055
0.9,20,bAUTO,500,50,200,0.8923970979419547,0.0659328573330344
0.9,20,bAUTO,500,100,200,0.8968319023672474,0.05258262342862663
0.9,20,bAUTO,500,200,200,0.897894295760245,0.038008321165918964
0.9,20,bAUTO,500,500,200,0.9001140192369281,0.024683329188586282
0.9,20,bAUTO,1000,50,200,0.8939466595867066,0.06660644162483374
0.9,20,bAUTO,1000,100,200,0.8970739083306638,0.049829623894113946
0.9,20,bAUTO,1000,200,200,0.8973924243393977,0.039320966037590374
0.9,20,bAUTO,1000,500,200,0.8998551827513834,0.024944224084640823
0.9,20,bAUTO,1000,1000,200,0.9007977903259562,0.017490601060573853
