alpha,dim,b,xsize,ysize,count,mean,std
0.9,2,b0.01,1000,500,165,0.8685081339472407,0.11607933700998944
0.9,2,b0.01,1000,1000,164,0.8800265829156874,0.07891868382663259
0.9,5,b0.01,50,50,164,0.8544649455607378,0.14391185095778475
0.9,5,b0.01,100,50,164,0.8690859470178728,0.14216895501614543
0.9,5,b0.01,100,100,163,0.883410856924543,0.09426548046184106
0.9,5,b0.01,200,50,163,0.8589732994722815,0.1429556156872647
0.9,5,b0.01,200,100,162,0.8722334450282138,0.10611829888308949
0.9,5,b0.01,200,200,161,0.8862487351289877,0.07719545598762546
0.9,5,b0.01,500,50,160,0.8478092479338553,0.13807178159849304
0.9,5,b0.01,500,100,161,0.8805457746600945,0.09739777111144142
0.9,5,b0.01,500,200,161,0.8740076011281426,0.07362411160583746
0.9,5,b0.01,500,500,160,0.8911025388108506,0.049241731132255294
0.9,5,b0.01,1000,50,160,0.8641835152645452,0.13817443048857156
0.9,5,b0.01,1000,100,159,0.8631368304644115,0.10498293856232843
0.9,5,b0.01,1000,200,157,0.8996604351742736,0.06720892251487957
0.9,5,b0.01,1000,500,155,0.8952468047256156,0.04725306627893537
0.9,5,b0.01,1000,1000,154,0.8960924805470766,0.03438523056456296
0.9,10,b0.01,50,50,154,0.8753388482217189,0.09685160957652611
0.9,10,b0.01,100,50,154,0.8816762520015208,0.09848260487728197
0.9,10,b0.01,100,100,154,0.9045150347181893,0.0688424964066554
0.9,10,b0.01,200,50,154,0.8791939403270634,0.08791422103515352
0.9,10,b0.01,200,100,154,0.9015596180059091,0.06699320624669146
0.9,10,b0.01,200,200,154,0.892820708304853,0.05274494009233723
0.9,10,b0.01,500,50,154,0.879384578597856,0.10119827426357271
0.9,10,b0.01,500,100,153,0.8865331005508091,0.06787870017022525
0.9,10,b0.01,500,200,153,0.8859404072916314,0.05774604477467999
0.9,10,b0.01,500,500,153,0.8987932231396243,0.03383382485126576
0.9,10,b0.01,1000,50,150,0.8915008994893266,0.08719007434769173
0.9,10,b0.01,1000,100,150,0.9004801376566286,0.0698063401057037
0.9,10,b0.01,1000,200,148,0.8976232896434698,0.0540970947455167
0.9,10,b0.01,1000,500,146,0.9046795251095434,0.033545338403192106
0.9,10,b0.01,1000,1000,146,0.8996524514758777,0.025781343583787145
0.9,20,b0.01,50,50,146,0.8956764101371425,0.06978720388189835
0.9,20,b0.01,100,50,145,0.8966702521142013,0.07273959566910297
0.9,20,b0.01,100,100,144,0.9082193299034435,0.05519447053744985
0.9,20,b0.01,200,50,144,0.8957745257621768,0.075632290365208
0.9,20,b0.01,200,100,143,0.8999429050007858,0.05576575941837917
0.9,20,b0.01,200,200,143,0.9035274287663733,0.04830094418402951
0.9,20,b0.01,500,50,143,0.9103895455391016,0.0661247871302824
0.9,20,b0.01,500,100,143,0.8988842066965951,0.05532040717562323
0.9,20,b0.01,500,200,143,0.9033376472316047,0.041082050564543955
0.9,20,b0.01,500,500,143,0.9046806798402736,0.029112287159381644
0.9,20,b0.01,1000,50,142,0.902589482383317,0.07524901122279151
0.9,20,b0.01,1000,100,142,0.899388526592379,0.05849378708542841
0.9,20,b0.01,1000,200,141,0.9025334387801115,0.0389380303278456
0.9,20,b0.01,1000,500,139,0.8999893786396613,0.025712456986506697
0.9,20,b0.01,1000,1000,138,0.8972407905363624,0.01939692215910881
